Tenure,MonthlyCharges,TotalCharges,ContractType,SupportCalls,Churn
51,30.1,1555.74,2,2,0
39,89.22,3477.57,1,1,0
51,26.23,1364.87,0,1,0
70,70.94,4989.06,0,1,0
6,119.67,707.45,0,2,0
67,101.4,6810.52,0,1,1
7,81.52,557.25,0,0,1
51,50.63,2595.39,1,2,0
42,82.39,3427.88,0,1,0
64,72.7,4622.51,0,1,0
15,62.61,965.58,0,3,0
29,33.07,982.5,1,2,0
33,108.66,3601.63,0,2,0
27,64.98,1756.62,1,4,1
36,39.46,1360.86,0,3,0
29,56.78,1644.63,2,0,0
38,61.41,2345.05,2,2,0
57,102.75,5843.6,0,1,0
27,93.36,2502.95,0,1,0
55,96.93,5367.29,0,1,1
33,21.1,694.9,0,3,0
68,61.62,4201.22,1,0,0
66,68.13,4516.22,2,1,0
10,21.92,194.16,1,4,1
5,45.98,234.74,2,1,0
38,96.03,3682.09,0,2,0
13,33.71,483.72,0,2,0
31,73.53,2280.46,1,1,0
47,41.52,1945.5,0,1,0
52,21.21,1109.75,1,4,0
56,44.12,2476.82,0,2,0
15,117.59,1798.48,0,2,0
29,100.15,2879.55,2,2,1
8,115.96,920.66,0,3,1
5,68.79,316.0,2,2,0
29,30.97,872.93,2,1,0
47,74.8,3524.82,1,2,0
68,65.44,4470.01,1,1,0
45,104.44,4683.37,1,2,0
2,29.81,78.92,2,2,0
27,68.82,1886.04,0,2,1
36,35.0,1308.54,0,2,0
36,52.47,1890.58,1,2,0
26,93.74,2421.13,0,1,0
43,67.6,2881.82,0,0,1
27,57.59,1527.35,0,2,1
69,59.45,4133.13,1,0,0
20,65.94,1281.02,2,0,0
11,98.5,1113.96,0,2,1
38,109.21,4128.21,2,1,0
6,115.53,676.07,1,0,0
23,98.69,2266.09,2,0,0
47,51.54,2404.82,1,1,0
46,88.81,4108.72,1,1,0
12,63.76,810.46,0,3,1
13,45.47,574.64,2,2,0
62,104.09,6442.6,0,1,0
60,23.84,1426.48,2,1,0
43,110.18,4751.1,2,4,0
68,66.15,4494.21,0,2,0
5,83.72,453.28,0,1,0
37,85.94,3208.28,1,1,0
31,109.51,3365.23,0,1,1
9,83.67,766.03,2,0,0
51,81.39,4189.07,0,3,0
29,26.67,760.92,0,2,0
40,71.84,2866.28,2,0,0
41,35.02,1422.49,1,5,0
11,93.74,1018.5,2,0,0
23,71.22,1596.4,0,1,0
1,88.02,54.81,1,3,0
46,24.17,1113.63,1,1,0
21,28.48,635.9,1,2,0
36,91.63,3283.43,1,2,1
54,27.21,1453.19,1,1,0
57,27.13,1588.7,0,3,0
1,21.21,-6.5,0,1,0
63,115.65,7244.43,1,2,0
54,93.75,5041.83,0,2,0
55,55.33,3026.31,1,2,0
40,49.65,1942.46,0,0,0
15,54.97,821.35,1,1,0
21,97.47,2070.48,1,4,1
47,86.14,4016.29,0,0,1
53,38.52,2043.73,0,1,0
9,37.41,346.6,0,0,0
52,29.84,1549.57,1,2,0
57,86.03,4908.37,2,4,1
26,96.44,2512.3,0,3,0
41,46.5,1886.37,1,0,0
35,22.09,810.77,0,1,0
63,28.22,1808.88,0,0,0
25,116.79,2949.4,2,1,0
38,49.54,1908.03,0,3,0
2,96.92,154.47,0,0,0
7,82.47,600.42,0,3,1
34,58.19,1994.98,0,2,0
17,40.57,651.26,0,2,0
43,32.14,1376.59,0,1,0
59,81.5,4815.5,1,2,0
51,97.46,5012.24,0,1,0
54,84.39,4575.2,0,1,0
24,73.03,1731.11,0,6,0
25,24.2,647.26,0,2,0
71,116.85,8297.36,1,1,0
52,99.87,5186.92,2,2,0
70,49.28,3441.58,0,0,0
33,118.0,3853.31,2,0,0
49,80.19,3926.48,1,2,0
29,78.24,2281.46,1,2,0
63,94.81,5963.23,0,1,0
22,101.18,2236.4,0,0,1
26,85.65,2205.23,0,1,1
28,32.81,915.14,1,1,0
49,53.83,2645.42,0,0,1
71,112.81,8014.14,2,1,0
49,42.46,2040.48,0,0,1
20,57.22,1133.36,0,1,1
63,63.21,4024.02,1,0,0
61,63.94,3888.06,0,5,0
49,81.29,3983.8,0,4,0
71,114.31,8113.67,1,3,0
1,44.07,83.28,2,1,0
13,32.15,450.21,1,1,0
51,39.75,2047.29,1,0,1
56,108.69,6062.45,1,1,0
62,84.58,5253.01,2,3,0
32,48.59,1569.1,0,2,0
30,101.59,3030.38,0,0,1
29,106.14,3056.21,0,1,0
49,104.65,5170.55,0,3,0
45,111.89,5027.65,1,2,0
30,45.22,1397.1,1,1,0
16,95.5,1552.99,1,2,0
40,66.05,2652.35,0,1,0
19,104.2,1991.11,1,2,0
18,92.85,1636.27,0,2,1
1,97.64,102.81,1,0,0
47,85.62,4059.39,1,2,0
66,37.74,2508.06,0,1,1
38,74.5,2834.96,0,1,0
51,118.47,6084.61,0,2,1
63,113.74,7160.92,2,1,0
4,24.32,81.78,2,1,0
1,36.48,40.33,1,0,0
8,33.17,284.54,0,1,0
29,92.6,2642.4,0,2,1
55,101.78,5604.94,1,1,0
3,41.35,144.31,1,3,0
32,70.59,2251.99,0,2,0
10,104.07,1068.38,0,0,1
34,93.28,3187.55,1,0,1
55,74.22,4135.84,0,2,0
32,79.03,2510.35,0,3,1
50,70.84,3562.57,0,0,0
7,49.75,322.85,0,2,0
8,76.5,571.63,2,2,0
65,88.89,5726.87,2,2,0
57,107.33,6131.4,1,0,0
67,83.63,5607.76,0,2,0
59,96.11,5658.64,0,2,0
54,36.01,1900.05,0,0,0
67,66.16,4415.18,0,0,0
51,20.93,1067.69,1,1,0
8,44.67,377.17,0,1,1
34,92.65,3149.56,0,1,0
35,119.18,4177.64,0,1,1
32,29.92,947.97,0,2,0
